,Statement,Answer,Label,Type
0,"You were very much involved -- excuse me. My turn. You were very much involved in every aspect of this country. Very much. And you do have experience. I say the one thing you have over me is experience, but it's bad experience, because what you've done has turned out badly. For 30 years, you've been in a position to help, and if you say that I use steel or I use something else, I -- make it impossible for me to do that. I wouldn't mind. The problem is, you talk, but you don't get anything done, Hillary. You don't. Just like when you ran the State Department, $6 billion was missing. How do you miss $6 billion? You ran the State Department, $6 billion was either stolen. They don't know. It's gone, $6 billion. If you become president, this country is going to be in some mess. Believe me.","But I think it's really an important issue. He raised the 30 years of experience, so let me just talk briefly about that. You know, back in the 1970s, I worked for the Children's Defense Fund. And I was taking on discrimination against African-American kids in schools. He was getting sued by the Justice Department for racial discrimination in his apartment buildings. In the 1980s, I was working to reform the schools in Arkansas. He was borrowing $14 million from his father to start his businesses. In the 1990s, I went to Beijing and I said women's rights are human rights. He insulted a former Miss Universe, Alicia Machado, called her an eating machine.",4.0,raw
1,"[""</s><s>You talk, but you don't get anything done, Hillary. Just like when you ran the State Department, $6 billion was missing. If you become president, this country is going to be in some mess. Believe me. I wouldn't mind if you said that I use steel or I use something else.</s>""]","[""</s><s>But I think it's really an important issue. He raised the 30 years of experience, so let me just talk briefly about that. You know, back in the 1970s, I worked for the Children's Defense Fund. And I was taking on discrimination against African-American kids in schools.</s>""]",4.0,summary
2,"I do rule out banning fracking because the answer we need, we need other industries to transition, to get to ultimately a complete zero emissions by 2025. What I will do with fracking over time is make sure that we can capture the emissions from the fracking, capture the emissions from gas. We can do that and we can do that by investing money in doing it, but it’s a transition to that.",Excuse me. He was against fracking. He said it. I will show that to you tomorrow.,3.0,raw
3,"['</s><s>I do rule out banning fracking because the answer we need, we need other industries to transition, to get to ultimately a complete zero emissions by 2025. What I will do with fracking over time is make sure that we can capture the emissions from the fracking. We can do that by investing money in doing it, but it’s a transition to that.</s>']","[""</s><s><s>Excuse me. He was against fracking. He said it. I will show that to you tomorrow. Excuse me, I was going to show you that he said that. I was trying to get him to say it. But he said it, so I'm going to do it.</s>""]",3.0,summary
4,"Which means that you will, in effect, determine the balance of the court for what could be the next quarter century. First of all, where do you want to see the court take the country? And secondly, what's your view on how the Constitution should be interpreted? Do the founders' words mean what they say or is it a living document to be applied flexibly according to changing circumstances? In this segment, Secretary Clinton, you go first. You have two minutes. ","Well, first of all, it's great to be with you, and thank you, everybody. The Supreme Court: It's what it's all about. Our country is so, so -- it's just so imperative that we have the right justices. Something happened recently where Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent. And she was forced to apologize. And apologize she did. But these were statements that should never, ever have been made. We need a Supreme Court that in my opinion is going to uphold the Second Amendment, and all amendments, but the Second Amendment, which is under absolute siege. I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now. But I feel that it's absolutely important that we uphold, because of the fact that it is under such trauma. I feel that the justices that I am going to appoint -- and I've named 20 of them -- the justices that I'm going to appoint will be pro-life. They will have a conservative bent. They will be protecting the Second Amendment. They are great scholars in all cases, and they're people of tremendous respect. They will interpret the Constitution the way the founders wanted it interpreted. And I believe that's very, very important. I don't think we should have justices appointed that decide what they want to hear. It's all about the Constitution of -- of -- and so important, the Constitution the way it was meant to be. And those are the people that I will appoint.",4.0,raw
5,"[""</s><s>Clinton will determine the balance of the court for what could be the next quarter century. She will be asked: Where do you want to see the court take the country? And secondly, what's your view on how the Constitution should be interpreted? Do the founders' words mean what they say or is it a living document?</s>""]","['</s><s>Presidential candidate says he will appoint justices who are pro-life and pro-Second Amendment. He says Justice Ginsburg made ""inappropriate statements"" about him and millions of others. ""I feel that the justices that I am going to appoint -- and I\'ve named 20 of them,"" he says.</s>']",4.0,summary
6,"But also, state that you are going to eliminate the Trump tax cuts. The Trump tax cuts reduces taxes for the majority of workers. I would argue, not enough. What is your plan for either extending the tax cuts for the middle-class, or creating a new plan that further reduces those taxes?","I carry this card with me. When I said the Trump tax cuts, about 1.3 trillion of the $2 trillion in his tax cuts went to the top one 10th of 1%. That’s what I’m talking about eliminating, not all the tax cuts that are out there. And by the way, if you take a look, we reduced the corporate tax rate from 35%. and Democrats, Republicans who were in office thought it should come down to 28%. He reduced it to 21%. You have 91 out of the Fortune 500 companies not paying a single solitary penny. If you raise the corporate tax back to 28%, which is a fair tax, you’d raise one trillion, three hundred billion dollars by that one act. If you made sure that people making over 400 grand paid what they did in the Bush administration, 39.6%, you would raise another, it goes up to let me get you the exact number here, about another 200, excuse me. $92 billion. So, you could raise a lot of money to be able to invest in things that can make your life easier. Make you change your standard of living by making sure you have affordable health care, by making sure you’re in a situation where you’re able to send your kid to school. If you have student debt, you can deal with it. Making sure that your home, you can pay your mortgage. You got 20 million people, right now.",6.0,raw
7,"['</s><s>But also, state that you are going to eliminate the Trump tax cuts. What is your plan for either extending the tax cuts for the middle-class, or creating a new plan that further reduces those taxes? I would argue, not enough, says Rep. Steve Israel.</s>']","['</s><s>I carry this card with me. When I said the Trump tax cuts, about 1.3 trillion of the $2 trillion in his tax cuts went to the top one 10th of 1%. That’s what I’m talking about eliminating, not all the tax cuts that are out there. If you raise the corporate tax back to 28%, which is a fair tax, you’d raise one trillion, three hundred billion dollars by that one act.</s>']",6.0,summary
8,What is radical about racial sensitivity training?,"The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It’s important people know. Many people don’t want to hurt other people’s feelings, but it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. It’s a little bit like how this guy and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, who grow up in Scranton. They look down on people who don’t have money. They look down on people who are of a different faith. They looked down on people who are a different color. In fact, we’re all Americans. The only way we’re going to bring this country together is bring everybody together. There’s nothing we cannot do, if we do it together. We can take this on and we can defeat racism in American.",6.0,raw
9,"[""</s><s><s><s>What is radical about racial sensitivity training? The answer is that it's not radical at all. It's just a way of teaching people how to be more sensitive to each other. The training is designed to teach people to be sensitive to other people's feelings.</s>""]","['</s><s>The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. The only way we’re going to bring this country together is bring everybody together.</s>']",6.0,summary
